0, 12, 72, 57
67, 54, 120, 84
41, 57, 65, 87
152, 54, 218, 87
223, 53, 270, 87
275, 43, 322, 90
328, 44, 394, 92
43, 92, 71, 124
62, 92, 114, 124
146, 86, 268, 130
273, 89, 345, 129
348, 89, 415, 129
28, 129, 61, 164
66, 120, 117, 159
135, 133, 197, 162
202, 124, 292, 165
297, 124, 383, 165
396, 126, 458, 171
26, 162, 55, 195
61, 162, 111, 195
145, 154, 205, 200
209, 157, 279, 195
282, 159, 352, 200
19, 195, 54, 226
60, 189, 112, 233
140, 191, 206, 229
203, 187, 276, 231
279, 184, 342, 227
25, 229, 61, 263
66, 221, 118, 262
150, 224, 203, 261
213, 218, 268, 258
276, 225, 339, 258
20, 262, 61, 296
56, 255, 108, 297
140, 256, 205, 294
205, 251, 282, 290
287, 247, 367, 288
371, 237, 438, 287
14, 288, 59, 328
62, 291, 117, 329
154, 293, 215, 331
213, 287, 268, 328
279, 280, 321, 329
336, 282, 402, 334
0, 347, 36, 384
47, 343, 114, 375
112, 331, 183, 375
199, 334, 235, 376
273, 340, 339, 375
346, 323, 401, 373
396, 331, 454, 378
44, 370, 73, 413
80, 378, 158, 416
164, 372, 200, 412
199, 377, 256, 422
260, 371, 337, 416
341, 364, 473, 413
5, 415, 30, 459
45, 409, 96, 454
91, 410, 157, 457
158, 416, 224, 456
268, 416, 303, 449
303, 409, 370, 455
47, 457, 110, 491
141, 454, 207, 487
108, 454, 139, 486
211, 454, 254, 495
252, 455, 292, 487
306, 445, 431, 488
1, 493, 39, 535
47, 487, 164, 532
174, 485, 242, 525
263, 483, 354, 527
366, 480, 420, 530
418, 476, 474, 530
92, 522, 135, 556
141, 518, 177, 560
179, 521, 280, 561
2, 550, 30, 602
48, 555, 139, 596
142, 552, 189, 596
193, 549, 239, 595
242, 554, 315, 590
318, 543, 424, 592
35, 597, 79, 633
86, 585, 148, 632
162, 590, 221, 628
224, 579, 258, 622
266, 584, 382, 628
5, 635, 49, 675
65, 632, 170, 667
171, 623, 233, 669
267, 632, 331, 668
325, 620, 410, 665
413, 607, 462, 664
19, 675, 91, 696
89, 667, 157, 704
183, 663, 279, 698
290, 663, 317, 699
324, 661, 395, 699
401, 658, 430, 704
424, 658, 477, 700
